  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
 38.627305396  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 39.183093963  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 39.738882529  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 40.294671096  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 40.850459663  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 41.406248230  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 41.962036797  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 42.517825364  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 43.073613931  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 43.629402497  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 44.185191064  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 44.740979631  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 45.296768198  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 45.852556765  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 46.408345332  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 46.964133898  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 47.519922465  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 48.075711032  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 48.631499599  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 49.187288166  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
