# Ion number density
# The last    3 ion types are fixed
# Average over     378000 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
 51.971806083  0.007382737  0.000099920  0.000084954  0.000079295  0.000110459  0.000440608  0.000612829  0.000502635  0.005452038  0.000000000  0.000000000
 52.860213025  0.008364078  0.000099458  0.000074166  0.000074985  0.000134681  0.000624490  0.000439641  0.000473340  0.006443318  0.000000000  0.000000000
 53.748619966  0.007258523  0.000076821  0.000068443  0.000066424  0.000096118  0.000441544  0.000405070  0.000486852  0.005617251  0.000000000  0.000000000
 54.637026908  0.011328647  0.000037217  0.000066376  0.000059023  0.000084268  0.000417989  0.000419480  0.000496710  0.009747583  0.000000000  0.000000000
 55.525433849  0.008892132  0.000039071  0.000049330  0.000058909  0.000082419  0.000429391  0.000474315  0.000489313  0.007269384  0.000000000  0.000000000
 56.413840791  0.010558749  0.000082710  0.000059313  0.000061098  0.000082767  0.000470702  0.000467703  0.000412939  0.008921517  0.000000000  0.000000000
 57.302247733  0.010607836  0.000285996  0.000078948  0.000062212  0.000068098  0.000515772  0.000456049  0.000384457  0.008756304  0.000000000  0.000000000
 58.190654674  0.009420521  0.000120089  0.000069702  0.000056389  0.000052286  0.000550387  0.000499581  0.000472277  0.007599811  0.000000000  0.000000000
 59.079061616  0.009603070  0.000101526  0.000059193  0.000059462  0.000043754  0.000592666  0.000543860  0.000602797  0.007599811  0.000000000  0.000000000
 59.967468557  0.008171676  0.000082519  0.000049024  0.000066358  0.000044955  0.000558059  0.000611130  0.000646738  0.006112891  0.000000000  0.000000000
 60.855875499  0.008739496  0.000074800  0.000046903  0.000066985  0.000050687  0.000563653  0.000677430  0.000650508  0.006608531  0.000000000  0.000000000
 61.744282441  0.008587377  0.000068617  0.000058006  0.000065867  0.000057154  0.000611346  0.000705912  0.000742370  0.006278105  0.000000000  0.000000000
 62.632689382  0.009145840  0.000055450  0.000064104  0.000070925  0.000055614  0.000659419  0.000688968  0.000777615  0.006773744  0.000000000  0.000000000
 63.521096324  0.011116067  0.000039578  0.000068950  0.000073680  0.000058549  0.000638076  0.000656884  0.000658833  0.008921517  0.000000000  0.000000000
 64.409503265  0.006865155  0.000034676  0.000076057  0.000079298  0.000053409  0.000583118  0.000578637  0.000503562  0.004956398  0.000000000  0.000000000
 65.297910207  0.008715516  0.000033863  0.000077372  0.000084713  0.000039916  0.000546887  0.000506233  0.000487574  0.006938958  0.000000000  0.000000000
 66.186317149  0.007680294  0.000036672  0.000078872  0.000082997  0.000044756  0.000548305  0.000475889  0.000465125  0.005947678  0.000000000  0.000000000
 67.074724090  0.009317604  0.000036647  0.000061123  0.000071081  0.000043743  0.000606072  0.000540073  0.000524267  0.007434598  0.000000000  0.000000000
 67.963131032  0.010629379  0.000036119  0.000051296  0.000053113  0.000044562  0.000706978  0.000584604  0.000561616  0.008591090  0.000000000  0.000000000
 68.851537973  0.007814805  0.000046105  0.000051386  0.000040366  0.000052867  0.000742795  0.000688461  0.000575574  0.005617251  0.000000000  0.000000000
 69.739944915  0.008902330  0.000062054  0.000038225  0.000038875  0.000053452  0.000674018  0.000756167  0.000671008  0.006608531  0.000000000  0.000000000
 70.628351856  0.007988544  0.000064888  0.000027655  0.000197440  0.000048838  0.000651710  0.000715735  0.000830241  0.005452038  0.000000000  0.000000000
 71.516758798  0.011545981  0.000054845  0.000025242  0.000026751  0.000046574  0.000641129  0.000692071  0.000807424  0.009251944  0.000000000  0.000000000
 72.405165740  0.005906039  0.000053998  0.000024193  0.000021687  0.000040560  0.000637856  0.000724322  0.000768732  0.003634692  0.000000000  0.000000000
 73.293572681  0.009004158  0.000055195  0.000023433  0.000020486  0.000035631  0.000683250  0.000722055  0.000690364  0.006773744  0.000000000  0.000000000
 74.181979623  0.009476847  0.000050534  0.000189975  0.000025575  0.000032766  0.000697666  0.000738434  0.000637726  0.007104171  0.000000000  0.000000000
 75.070386564  0.010083068  0.000042030  0.000030257  0.000026386  0.000034488  0.000687630  0.000617335  0.000714705  0.007930237  0.000000000  0.000000000
 75.958793506  0.009411281  0.000031533  0.000032050  0.000029438  0.000038231  0.000665561  0.000575753  0.000604116  0.007434598  0.000000000  0.000000000
 76.847200448  0.007841804  0.000018373  0.000041391  0.000026855  0.000041231  0.000634158  0.000601538  0.000530580  0.005947678  0.000000000  0.000000000
 77.735607389  0.008738221  0.000021263  0.000043338  0.000029899  0.000134287  0.000606481  0.000607286  0.000521923  0.006773744  0.000000000  0.000000000
 78.624014331  0.010052863  0.000027530  0.000044475  0.000037755  0.000112889  0.000578373  0.000581730  0.000574660  0.008095451  0.000000000  0.000000000
 79.512421272  0.009869669  0.000026008  0.000046928  0.000042841  0.000040626  0.000526615  0.000534313  0.000556889  0.008095451  0.000000000  0.000000000
 80.400828214  0.008636982  0.000022919  0.000044311  0.000049994  0.000043745  0.000505851  0.000502721  0.000528483  0.006938958  0.000000000  0.000000000
 81.289235156  0.009784981  0.000019323  0.000040732  0.000048163  0.000045618  0.000513977  0.000499083  0.000522634  0.008095451  0.000000000  0.000000000
 82.177642097  0.008352341  0.000030800  0.000044620  0.000044956  0.000043566  0.000537440  0.000501009  0.000541418  0.006608531  0.000000000  0.000000000
 83.066049039  0.009230524  0.000044076  0.000042773  0.000042313  0.000041181  0.000548554  0.000546313  0.000530717  0.007434598  0.000000000  0.000000000
 83.954455980  0.010379089  0.000048729  0.000031689  0.000043371  0.000039144  0.000557012  0.000557743  0.000510311  0.008591090  0.000000000  0.000000000
 84.842862922  0.010768885  0.000049462  0.000027130  0.000046420  0.000038504  0.000577256  0.000560842  0.000547755  0.008921517  0.000000000  0.000000000
 85.731269864  0.007848851  0.000056030  0.000035592  0.000053466  0.000039975  0.000636124  0.000603296  0.000641903  0.005782465  0.000000000  0.000000000
 86.619676805  0.002385283  0.000069015  0.000045600  0.000058783  0.000041226  0.000724180  0.000702024  0.000744455  0.000000000  0.000000000  0.000000000
 87.508083747  0.002712229  0.000073583  0.000051635  0.000075125  0.000050660  0.000810175  0.000810452  0.000840599  0.000000000  0.000000000  0.000000000
 88.396490688  0.003171546  0.000083110  0.000064910  0.000093391  0.000062556  0.000946830  0.000950935  0.000969815  0.000000000  0.000000000  0.000000000
 89.284897630  0.003973202  0.000098288  0.000075845  0.000126085  0.000088024  0.001259214  0.001138489  0.001187257  0.000000000  0.000000000  0.000000000
 90.173304572  0.005434602  0.000137826  0.000107605  0.000165886  0.000143624  0.001695366  0.001546381  0.001637914  0.000000000  0.000000000  0.000000000
 91.061711513  0.006533596  0.000189754  0.000155148  0.000172703  0.000194269  0.001828697  0.002002830  0.001990195  0.000000000  0.000000000  0.000000000
 91.950118455  0.005889328  0.000220005  0.000195048  0.000138947  0.000200762  0.001527251  0.001844454  0.001762860  0.000000000  0.000000000  0.000000000
 92.838525396  0.004671843  0.000200846  0.000184639  0.000115384  0.000168150  0.001250665  0.001463896  0.001288264  0.000000000  0.000000000  0.000000000
 93.726932338  0.003991635  0.000146147  0.000168793  0.000115442  0.000136552  0.001162827  0.001192519  0.001069353  0.000000000  0.000000000  0.000000000
 94.615339279  0.003815527  0.000122459  0.000161343  0.000124407  0.000124727  0.001196773  0.001028418  0.001057399  0.000000000  0.000000000  0.000000000
 95.503746221  0.004035814  0.000118291  0.000170172  0.000138785  0.000132321  0.001287990  0.001045609  0.001142646  0.000000000  0.000000000  0.000000000
 96.392153163  0.004465582  0.000125806  0.000183657  0.000151500  0.000150048  0.001358100  0.001204130  0.001292340  0.000000000  0.000000000  0.000000000
 97.280560104  0.004951191  0.000147940  0.000178084  0.000161270  0.000174734  0.001429033  0.001406598  0.001453532  0.000000000  0.000000000  0.000000000
 98.168967046  0.005129186  0.000182670  0.000170282  0.000158330  0.000190468  0.001385018  0.001527604  0.001514814  0.000000000  0.000000000  0.000000000
 99.057373987  0.004946970  0.000186494  0.000155744  0.000154016  0.000196063  0.001325179  0.001486329  0.001443145  0.000000000  0.000000000  0.000000000
 99.945780929  0.004640846  0.000163602  0.000145149  0.000160779  0.000170789  0.001279142  0.001380900  0.001340486  0.000000000  0.000000000  0.000000000
100.834187871  0.004475204  0.000149735  0.000147960  0.000154600  0.000148643  0.001301801  0.001294611  0.001277856  0.000000000  0.000000000  0.000000000
101.722594812  0.004434314  0.000146836  0.000143470  0.000149203  0.000141838  0.001348372  0.001252350  0.001252245  0.000000000  0.000000000  0.000000000
102.611001754  0.004456491  0.000144541  0.000142291  0.000142835  0.000137307  0.001367531  0.001252566  0.001269420  0.000000000  0.000000000  0.000000000
103.499408695  0.004630478  0.000155383  0.000133226  0.000148795  0.000132986  0.001386635  0.001339806  0.001333648  0.000000000  0.000000000  0.000000000
104.387815637  0.004776018  0.000165196  0.000133691  0.000155765  0.000132581  0.001380821  0.001397437  0.001410528  0.000000000  0.000000000  0.000000000
105.276222579  0.004839072  0.000156040  0.000141805  0.000151123  0.000146799  0.001365876  0.001431073  0.001446356  0.000000000  0.000000000  0.000000000
106.164629520  0.004834941  0.000148017  0.000149115  0.000140425  0.000153160  0.001370391  0.001430156  0.001443676  0.000000000  0.000000000  0.000000000
107.053036462  0.004752288  0.000139725  0.000150170  0.000141086  0.000149316  0.001355957  0.001408981  0.001407052  0.000000000  0.000000000  0.000000000
107.941443403  0.004650932  0.000126811  0.000156698  0.000137235  0.000145689  0.001339967  0.001372485  0.001372046  0.000000000  0.000000000  0.000000000
108.829850345  0.004611350  0.000126478  0.000149914  0.000135917  0.000132297  0.001366270  0.001335580  0.001364894  0.000000000  0.000000000  0.000000000
109.718257287  0.004631683  0.000140614  0.000138669  0.000135954  0.000134056  0.001392288  0.001334850  0.001355252  0.000000000  0.000000000  0.000000000
110.606664228  0.004658247  0.000149768  0.000123073  0.000141580  0.000137596  0.001384186  0.001365892  0.001356154  0.000000000  0.000000000  0.000000000
111.495071170  0.004713818  0.000158438  0.000133695  0.000146462  0.000135821  0.001378651  0.001386656  0.001374096  0.000000000  0.000000000  0.000000000
112.383478111  0.004760183  0.000155398  0.000138018  0.000147488  0.000140287  0.001386181  0.001399398  0.001393413  0.000000000  0.000000000  0.000000000
113.271885053  0.004807392  0.000158228  0.000141766  0.000147852  0.000148577  0.001399052  0.001412030  0.001399887  0.000000000  0.000000000  0.000000000
114.160291994  0.004755813  0.000142910  0.000140015  0.000147674  0.000143639  0.001387385  0.001399300  0.001394890  0.000000000  0.000000000  0.000000000
115.048698936  0.004735952  0.000137741  0.000157602  0.000147763  0.000137958  0.001376877  0.001391318  0.001386692  0.000000000  0.000000000  0.000000000
115.937105878  0.004675979  0.000135518  0.000148097  0.000150634  0.000141224  0.001360074  0.001377749  0.001362684  0.000000000  0.000000000  0.000000000
116.825512819  0.004634588  0.000133709  0.000140961  0.000155874  0.000143635  0.001354002  0.001347177  0.001359229  0.000000000  0.000000000  0.000000000
117.713919761  0.004598200  0.000134241  0.000144997  0.000153202  0.000147192  0.001340370  0.001320232  0.001357967  0.000000000  0.000000000  0.000000000
118.602326702  0.004653621  0.000149033  0.000146953  0.000157113  0.000143843  0.001362377  0.001334638  0.001359663  0.000000000  0.000000000  0.000000000
119.490733644  0.004699299  0.000162170  0.000152688  0.000155305  0.000149068  0.001348039  0.001355349  0.001376679  0.000000000  0.000000000  0.000000000
120.379140586  0.004738234  0.000162700  0.000159027  0.000158200  0.000151828  0.001357578  0.001383323  0.001365578  0.000000000  0.000000000  0.000000000
121.267547527  0.004727096  0.000167805  0.000155471  0.000153502  0.000143533  0.001371890  0.001379065  0.001355829  0.000000000  0.000000000  0.000000000
122.155954469  0.004684178  0.000158385  0.000148089  0.000147679  0.000137643  0.001375357  0.001373359  0.001343666  0.000000000  0.000000000  0.000000000
123.044361410  0.004693472  0.000160474  0.000146952  0.000143562  0.000137099  0.001384185  0.001360301  0.001360900  0.000000000  0.000000000  0.000000000
123.932768352  0.004713178  0.000136398  0.000142908  0.000147548  0.000140345  0.001381538  0.001368983  0.001395458  0.000000000  0.000000000  0.000000000
124.821175294  0.004712873  0.000133106  0.000145468  0.000135421  0.000130075  0.001383964  0.001373688  0.001411152  0.000000000  0.000000000  0.000000000
125.709582235  0.004720874  0.000125576  0.000136676  0.000123500  0.000126235  0.001379173  0.001414296  0.001415418  0.000000000  0.000000000  0.000000000
126.597989177  0.004759586  0.000121413  0.000123654  0.000124551  0.000125109  0.001412808  0.001424644  0.001427406  0.000000000  0.000000000  0.000000000
127.486396118  0.004844700  0.000126834  0.000116739  0.000122571  0.000121446  0.001454462  0.001451525  0.001451123  0.000000000  0.000000000  0.000000000
128.374803060  0.004889904  0.000123597  0.000113606  0.000118742  0.000122642  0.001476546  0.001466215  0.001468555  0.000000000  0.000000000  0.000000000
129.263210002  0.004887528  0.000111792  0.000112675  0.000121643  0.000114001  0.001475372  0.001474785  0.001477261  0.000000000  0.000000000  0.000000000
130.151616943  0.004886008  0.000108325  0.000116312  0.000123737  0.000105176  0.001481755  0.001483197  0.001467507  0.000000000  0.000000000  0.000000000
131.040023885  0.004877405  0.000101227  0.000117647  0.000118001  0.000099972  0.001500879  0.001491380  0.001448299  0.000000000  0.000000000  0.000000000
