# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     2.606060606060610e+00      5.321613786768431e-05     -1.095356174729556e-05     4.978625087213112e-01
 0.000000000000000e+00      2.500000000000000e-01     2.626262626262630e+00     -1.880297506806627e-06     -2.745180318397544e-05     4.972775292901876e-01
 0.000000000000000e+00      2.500000000000000e-01     2.646464646464651e+00     -5.697673288496130e-05     -4.395004462831587e-05     4.966925498590631e-01
 0.000000000000000e+00      2.500000000000000e-01     2.666666666666671e+00      6.055223109097119e-05     -3.064160042032249e-06     4.961846348666450e-01
 0.000000000000000e+00      2.500000000000000e-01     2.686868686868691e+00      6.429193347784468e-06      1.387226342636216e-05     4.956615041634669e-01
 0.000000000000000e+00      2.500000000000000e-01     2.707070707070712e+00      3.234147930952780e-05      1.203014752620968e-05     4.952268059573416e-01
 0.000000000000000e+00      2.500000000000000e-01     2.727272727272732e+00      3.907382189749509e-06      9.936827216616706e-07     4.948405239911237e-01
 0.000000000000000e+00      2.500000000000000e-01     2.747474747474752e+00     -2.452671493013980e-05     -1.004278208283083e-05     4.944542420249057e-01
 0.000000000000000e+00      2.500000000000000e-01     2.767676767676773e+00     -3.991660297905653e-05     -2.997569891702301e-05     4.940594950640720e-01
 0.000000000000000e+00      2.500000000000000e-01     2.787878787878793e+00     -5.667409078846664e-05     -2.575343568525512e-05     4.937630322555258e-01
 0.000000000000000e+00      2.500000000000000e-01     2.808080808080813e+00      4.588586872966705e-05      1.095543115747777e-05     4.934382457530569e-01
 0.000000000000000e+00      2.500000000000000e-01     2.828282828282834e+00      2.919056239325535e-05      4.091608702627703e-06     4.931796042249499e-01
