  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
 20.550618337  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 21.113648976  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 21.676679616  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 22.239710255  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 22.802740894  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 23.365771534  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 23.928802173  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 24.491832812  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 25.054863452  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 25.617894091  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 26.180924730  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 26.743955370  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 27.306986009  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 27.870016649  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 28.433047288  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 28.996077927  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 29.559108567  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 30.122139206  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 30.685169845  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 31.248200485  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 31.811231124  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 32.374261763  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 32.937292403  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 33.500323042  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 34.063353682  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 34.626384321  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 35.189414960  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 35.752445600  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 36.315476239  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 36.878506878  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 37.441537518  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 38.004568157  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 38.567598796  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 39.130629436  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 39.693660075  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 40.256690715  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 40.819721354  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 41.382751993  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 41.945782633  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 42.508813272  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 43.071843911  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 43.634874551  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 44.197905190  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 44.760935829  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 45.323966469  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
