# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
 75.958793506  0.009289570  0.000036853  0.000045430  0.000029842  0.000052136  0.000606369  0.000517763  0.000566579  0.007434598  0.000000000  0.000000000
 76.847200448  0.007735364  0.000041594  0.000041193  0.000035042  0.000040748  0.000580999  0.000520053  0.000528058  0.005947678  0.000000000  0.000000000
 77.735607389  0.008639877  0.000053512  0.000036841  0.000040475  0.000116909  0.000540047  0.000550055  0.000528292  0.006773744  0.000000000  0.000000000
 78.624014331  0.010011601  0.000061878  0.000029527  0.000042252  0.000112604  0.000505168  0.000568198  0.000596522  0.008095451  0.000000000  0.000000000
 79.512421272  0.009868028  0.000059496  0.000026224  0.000042731  0.000034114  0.000480406  0.000539974  0.000589631  0.008095451  0.000000000  0.000000000
 80.400828214  0.008652495  0.000048783  0.000026158  0.000039073  0.000031209  0.000490652  0.000521283  0.000556380  0.006938958  0.000000000  0.000000000
 81.289235156  0.009813358  0.000043583  0.000029443  0.000036232  0.000028883  0.000528415  0.000509614  0.000541738  0.008095451  0.000000000  0.000000000
 82.177642097  0.008371496  0.000046947  0.000028260  0.000030543  0.000030945  0.000559251  0.000525357  0.000541662  0.006608531  0.000000000  0.000000000
 83.066049039  0.009241134  0.000049708  0.000030077  0.000028782  0.000030454  0.000548049  0.000574406  0.000545061  0.007434598  0.000000000  0.000000000
 83.954455980  0.010382339  0.000050788  0.000033176  0.000030264  0.000029761  0.000540277  0.000568061  0.000538922  0.008591090  0.000000000  0.000000000
 84.842862922  0.010755556  0.000053956  0.000036703  0.000035273  0.000030882  0.000571489  0.000537589  0.000568146  0.008921517  0.000000000  0.000000000
 85.731269864  0.007819880  0.000053013  0.000037499  0.000041515  0.000038340  0.000648745  0.000574871  0.000643432  0.005782465  0.000000000  0.000000000
 86.619676805  0.002392606  0.000051981  0.000040319  0.000051478  0.000056643  0.000735252  0.000707658  0.000749275  0.000000000  0.000000000  0.000000000
 87.508083747  0.002799972  0.000057399  0.000049701  0.000063062  0.000067913  0.000838456  0.000852914  0.000870526  0.000000000  0.000000000  0.000000000
 88.396490688  0.003324481  0.000067574  0.000061649  0.000078056  0.000074685  0.001009032  0.001008920  0.001024564  0.000000000  0.000000000  0.000000000
 89.284897630  0.004172515  0.000086230  0.000075534  0.000103486  0.000087359  0.001330200  0.001226728  0.001262978  0.000000000  0.000000000  0.000000000
 90.173304572  0.005609312  0.000098175  0.000099823  0.000144082  0.000129535  0.001765221  0.001666958  0.001705518  0.000000000  0.000000000  0.000000000
 91.061711513  0.006615207  0.000133019  0.000143068  0.000154640  0.000194834  0.001913842  0.002046568  0.002029236  0.000000000  0.000000000  0.000000000
 91.950118455  0.005901642  0.000179136  0.000185164  0.000128960  0.000211458  0.001606429  0.001843428  0.001747067  0.000000000  0.000000000  0.000000000
 92.838525396  0.004687249  0.000170091  0.000180838  0.000115147  0.000163390  0.001308462  0.001480917  0.001268405  0.000000000  0.000000000  0.000000000
 93.726932338  0.004045104  0.000135119  0.000160970  0.000109544  0.000120701  0.001211460  0.001218015  0.001089297  0.000000000  0.000000000  0.000000000
 94.615339279  0.003929782  0.000111114  0.000159066  0.000121288  0.000106568  0.001255284  0.001070976  0.001105486  0.000000000  0.000000000  0.000000000
 95.503746221  0.004246956  0.000111001  0.000160356  0.000139411  0.000116229  0.001363681  0.001129801  0.001226478  0.000000000  0.000000000  0.000000000
 96.392153163  0.004732591  0.000121630  0.000158923  0.000159768  0.000127959  0.001454067  0.001325704  0.001384540  0.000000000  0.000000000  0.000000000
 97.280560104  0.005161834  0.000142265  0.000143827  0.000168815  0.000147975  0.001507397  0.001531256  0.001520299  0.000000000  0.000000000  0.000000000
 98.168967046  0.005232939  0.000166689  0.000137028  0.000167888  0.000162481  0.001464655  0.001580852  0.001553347  0.000000000  0.000000000  0.000000000
 99.057373987  0.004991553  0.000160998  0.000139091  0.000157186  0.000156997  0.001380207  0.001513695  0.001483380  0.000000000  0.000000000  0.000000000
 99.945780929  0.004695047  0.000141870  0.000140106  0.000151245  0.000139699  0.001334858  0.001410215  0.001377053  0.000000000  0.000000000  0.000000000
100.834187871  0.004529173  0.000128209  0.000142686  0.000146480  0.000128089  0.001339158  0.001328841  0.001315711  0.000000000  0.000000000  0.000000000
101.722594812  0.004539993  0.000122686  0.000141151  0.000136883  0.000124874  0.001401365  0.001306101  0.001306934  0.000000000  0.000000000  0.000000000
